id;the_geom;ID;POJEMNOSC
handel_region.1;MULTIPOLYGON (((630107.12 476343.3999999994, 630097.07 476296.79499999934, 630116.51 476291.69499999937, 630129.26 476288.60499999934, 630128.69 476285.9049999994, 630123.26 476259.9699999994, 630122.15 476256.1449999994, 630053.12 476270.87499999936, 630010.19 476279.00499999936, 630011.21 476283.68499999936, 630018.77 476320.5399999994, 630027.02 476346.17499999935, 630035.99 476371.7649999994, 630056.72 476363.60499999934, 630086.12 476352.00999999937, 630107.12 476343.3999999994)));1;549
handel_region.2;MULTIPOLYGON (((628998.14 481146.3999999994, 628994.72 481145.7099999994, 628925.63 481131.66999999934, 628919.39 481165.50999999937, 628922.6 481166.36499999935, 628933.76 481168.37499999936, 628932.5 481175.3349999994, 628936.22 481176.00999999937, 628936.16 481176.2649999994, 628940.72 481177.17999999935, 628952.51 481179.50499999936, 628951.94 481182.3249999994, 628955.12 481182.93999999936, 628956.59 481192.5249999994, 628958.96 481208.54499999934, 628984.3099999999 481204.8249999994, 629005.16 481199.04999999935, 629002.85 481181.0349999994, 628999.97 481159.88499999937, 628999.13 481153.6599999994, 628998.14 481146.3999999994)));2;279
handel_region.3;MULTIPOLYGON (((629112.17 481130.99499999936, 629109.14 481109.54499999934, 629101.22 481053.3399999994, 629062.97 481057.9149999994, 629057.72 481020.98499999935, 629052.14 480986.00499999936, 629001.86 480992.87499999936, 628985.9299999999 480994.74999999936, 628977.35 480995.75499999936, 628982.09 481024.49499999936, 628980.17 481033.04499999934, 629007.35 481033.67499999935, 629024.8099999999 481037.2749999994, 629025.44 481041.0999999994, 629024 481047.2199999994, 629030.78 481092.6999999994, 629032.01 481101.72999999934, 629054.63 481107.1449999994, 629061.86 481110.6399999994, 629065.22 481115.36499999935, 629066.15 481118.31999999937, 629067.02 481121.1399999994, 629070.59 481121.8899999994, 629074.16 481122.62499999936, 629112.17 481130.99499999936)));3;586
handel_region.4;MULTIPOLYGON (((629764.37 475740.3999999994, 629736.98 475742.06499999936, 629731.3099999999 475742.6649999994, 629717.63 475744.31499999936, 629701.19 475746.2799999994, 629603.15 475755.75999999937, 629587.01 475756.4049999994, 629579.27 475758.24999999936, 629572.25 475763.42499999935, 629569.52 475769.04999999935, 629569.04 475774.73499999935, 629575.64 475780.88499999937, 629581.67 475788.0249999994, 629578.19 475790.87499999936, 629575.73 475792.92999999935, 629582.6 475801.29999999935, 629582.12 475811.8899999994, 629577.65 475827.4149999994, 629572.7 475845.5349999994, 629572.4 475852.7049999994, 629572.22 475857.3399999994, 629573.1799999999 475872.8349999994, 629576.24 475882.0149999994, 629592.71 475899.8949999994, 629629.4 475938.23499999935, 629655.29 475972.35999999935, 629676.23 476000.60499999934, 629695.76 476022.7149999994, 629738.36 476066.00499999936, 629788.49 476117.5149999994, 629888.1799999999 476215.25499999936, 629900.63 476200.55499999935, 629885.27 476186.0349999994, 629905.82 476165.3949999994, 629918.6 476181.66999999934, 629936.57 476162.7699999994, 629935.58 476157.44499999937, 629941.49 476140.2099999994, 629935.67 476114.0349999994, 629912.54 476008.94499999937, 629895.59 475985.55999999936, 629893.34 475959.05499999935, 629898.71 475958.16999999934, 629881.34 475880.00499999936, 629865.29 475818.54999999935, 629856.02 475802.42499999935, 629838.41 475803.23499999935, 629828.84 475803.6549999994, 629820.71 475803.60999999935, 629813.09 475801.2849999994, 629809.4299999999 475798.2249999994, 629808.2 475794.1449999994, 629807.72 475751.12499999936, 629803.97 475751.25999999937, 629800.79 475751.37999999936, 629800.34 475751.3949999994, 629794.28 475750.1649999994, 629790.17 475747.37499999936, 629788.4299999999 475745.0799999994, 629779.19 475741.49499999936, 629764.37 475740.3999999994), (629814.08 475928.2149999994, 629831.96 475946.0949999994, 629811.86 475967.0949999994, 629808.65 475971.0399999994, 629806.01 475968.38499999937, 629798.3 475960.6449999994, 629795.21 475963.74999999936, 629786.48 475955.00499999936, 629789.6 475951.88499999937, 629792.96 475948.43499999936, 629814.08 475928.2149999994)));4;6419
handel_region.5;MULTIPOLYGON (((628702.04 481227.56499999936, 628728.92 481226.55999999936, 628727.9299999999 481215.48999999935, 628741.19 481214.0199999994, 628754.54 481212.2049999994, 628755.38 481217.79999999935, 628784.36 481213.9599999994, 628801.25 481210.7799999994, 628817.33 481207.7799999994, 628816.58 481201.4649999994, 628821.11 481201.0149999994, 628831.4299999999 481199.75499999936, 628836.77 481239.3999999994, 628852.49 481238.6499999994, 628852.82 481242.00999999937, 628855.64 481268.10999999935, 628855.73 481273.0899999994, 628878.11 481274.4099999994, 628881.92 481254.1449999994, 628886.21 481239.86499999935, 628889.15 481224.3249999994, 628859.87 481218.5199999994, 628850.27 481216.4049999994, 628849.82 481210.49499999936, 628853.3 481181.3949999994, 628848.65 481181.9049999994, 628846.55 481182.05499999935, 628814.51 481187.36499999935, 628807.19 481137.2649999994, 628803.23 481106.79999999935, 628799.09 481105.9749999994, 628769.21 481100.0349999994, 628740.6799999999 481106.1399999994, 628710.95 481121.9049999994, 628686.26 481136.25999999937, 628689.83 481164.12999999936, 628691 481173.38499999937, 628691.8099999999 481179.80499999935, 628695.86 481211.42499999935, 628697.39 481223.3499999994, 628697.96 481227.7149999994, 628702.04 481227.56499999936)));5;1040
handel_region.6;MULTIPOLYGON (((620617.82 475844.8449999994, 620658.77 475852.0899999994, 620664.02 475846.2849999994, 620692.61 475814.5899999994, 620720.8099999999 475783.31499999936, 620665.61 475737.6549999994, 620660.87 475733.73999999935, 620637.92 475764.1449999994, 620647.85 475772.9649999994, 620619.02 475805.73999999935, 620615.21 475817.3949999994, 620615.84 475824.0999999994, 620617.82 475844.8449999994)));6;450
handel_region.7;MULTIPOLYGON (((624934.01 480145.35999999935, 624955.88 480155.0949999994, 624975.74 480163.9149999994, 624998.36 480173.3499999994, 625004 480175.9149999994, 625002.2 480170.31999999937, 625001.33 480167.0349999994, 624997.22 480151.23999999935, 625017.92 480146.2749999994, 625011.5599999999 480121.79499999934, 625009.04 480112.10499999934, 625001.96 480110.10999999935, 624958.88 480098.0349999994, 624950.24 480096.7149999994, 624937.19 480093.87999999936, 624936.08 480119.4099999994, 624934.01 480145.35999999935)));7;287
handel_region.8;MULTIPOLYGON (((623587.73 479476.0749999994, 623578.58 479496.75999999937, 623567.03 479524.49499999936, 623559.35 479544.8349999994, 623562.41 479560.0749999994, 623563.04 479563.25499999936, 623588.78 479554.13499999937, 623609.9 479544.0849999994, 623614.37 479541.8949999994, 623624.3 479535.80499999935, 623650.16 479519.1549999994, 623665.46 479507.1549999994, 623647.79 479491.2249999994, 623647.52 479490.98499999935, 623649.38 479489.1999999994, 623645.33 479485.1649999994, 623643.65 479480.54499999934, 623641.46 479481.5199999994, 623634.86 479467.0299999994, 623636.6 479466.2049999994, 623635.97 479464.73499999935, 623627.8099999999 479446.9749999994, 623624.42 479441.7849999994, 623581.79 479463.36999999936, 623587.73 479476.0749999994)));8;440
handel_region.9;MULTIPOLYGON (((623944.37 479917.67499999935, 623955.26 479910.06999999937, 623970.41 479899.49499999936, 623988.11 479886.4149999994, 623985.95 479884.05999999936, 623982.62 479879.63499999937, 623993.84 479871.3399999994, 623978.45 479850.4749999994, 623968.4299999999 479845.29999999935, 623962.37 479839.3449999994, 623962.94 479834.0349999994, 623963.09 479830.25499999936, 623963.54 479827.7199999994, 623922.8 479826.06999999937, 623912.24 479825.6649999994, 623884.01 479824.55499999935, 623894.51 479849.54499999934, 623903.63 479869.10499999934, 623905.79 479872.10499999934, 623912.09 479880.86499999935, 623940.5 479913.2799999994, 623944.37 479917.67499999935)));9;394
handel_region.10;MULTIPOLYGON (((625129.1 472218.7749999994, 625224.71 472289.1549999994, 625232.24 472290.7899999994, 625235.15 472293.05499999935, 625238.9 472295.9499999994, 625243.22 472308.86499999935, 625388.54 472409.8449999994, 625399.07 472404.0249999994, 625473.83 472222.61499999935, 625441.34 472224.75999999937, 625412.48 472226.9049999994, 625412.57 472191.5799999994, 625386.05 472192.79499999934, 625387.97 472223.00499999936, 625391.96 472227.5799999994, 625397.27 472231.73499999935, 625402.16 472235.9049999994, 625403.9299999999 472239.6399999994, 625403.48 472242.9549999994, 625389.35 472261.4799999994, 625384.37 472258.0149999994, 625379.8099999999 472264.5999999994, 625372.67 472274.9649999994, 625292.12 472218.68499999936, 625289.63 472222.1049999994, 625268.8099999999 472208.8899999994, 625265.69 472213.04499999934, 625249.3099999999 472203.4749999994, 625198.01 472205.7849999994, 625160.66 472207.4649999994, 625136.12 472208.3949999994, 625129.1 472218.7749999994)));10;2193
