Date;Pfizer;AstraZeneca;Moderna;JandJ
01.04.2021 00:00;10;0;0;0
02.04.2021 00:00;10;0;0;0
03.04.2021 00:00;10;0;0;0
04.04.2021 00:00;10;0;0;0
05.04.2021 00:00;10;0;0;0
06.04.2021 00:00;10;0;0;0
07.04.2021 00:00;10;0;0;0
08.04.2021 00:00;10;0;0;0
09.04.2021 00:00;10;0;0;0
10.04.2021 00:00;10;5;5;5
11.04.2021 00:00;10;5;5;5
12.04.2021 00:00;10;5;5;5
13.04.2021 00:00;10;5;5;5
14.04.2021 00:00;10;5;5;5
15.04.2021 00:00;10;5;5;5
16.04.2021 00:00;10;5;5;5
17.04.2021 00:00;10;5;5;5
18.04.2021 00:00;10;5;5;5
19.04.2021 00:00;10;5;5;5
20.04.2021 00:00;10;5;5;5
21.04.2021 00:00;10;5;5;5
22.04.2021 00:00;10;5;5;5
23.04.2021 00:00;10;5;5;5
24.04.2021 00:00;10;5;5;5
25.04.2021 00:00;10;5;5;5
26.04.2021 00:00;10;5;5;5
27.04.2021 00:00;10;5;5;5
28.04.2021 00:00;10;5;5;5
29.04.2021 00:00;10;5;5;5
30.04.2021 00:00;10;5;5;5
01.05.2021 00:00;10;10;10;10
02.05.2021 00:00;10;10;10;10
03.05.2021 00:00;10;10;10;10
04.05.2021 00:00;10;10;10;10
05.05.2021 00:00;10;10;10;10
06.05.2021 00:00;10;10;10;10
07.05.2021 00:00;10;10;10;10
08.05.2021 00:00;10;10;10;10
09.05.2021 00:00;10;10;10;10
10.05.2021 00:00;10;10;10;10
11.05.2021 00:00;10;10;10;10
12.05.2021 00:00;10;10;10;10
13.05.2021 00:00;10;10;10;10
14.05.2021 00:00;10;10;10;10
15.05.2021 00:00;10;10;10;10
16.05.2021 00:00;10;10;10;10
17.05.2021 00:00;10;10;10;10
18.05.2021 00:00;10;10;10;10
19.05.2021 00:00;10;10;10;10
20.05.2021 00:00;10;10;10;10
21.05.2021 00:00;10;10;10;10
22.05.2021 00:00;10;10;10;10
23.05.2021 00:00;10;10;10;10
24.05.2021 00:00;10;10;10;10
25.05.2021 00:00;10;10;10;10
26.05.2021 00:00;10;10;10;10
27.05.2021 00:00;10;10;10;10
28.05.2021 00:00;10;10;10;10
29.05.2021 00:00;10;10;10;10
30.05.2021 00:00;10;10;10;10
31.05.2021 00:00;10;10;10;10
01.06.2021 00:00;20;20;20;20
02.06.2021 00:00;20;20;20;20
03.06.2021 00:00;20;20;20;20
04.06.2021 00:00;20;20;20;20
05.06.2021 00:00;20;20;20;20
06.06.2021 00:00;20;20;20;20
07.06.2021 00:00;20;20;20;20
08.06.2021 00:00;20;20;20;20
09.06.2021 00:00;20;20;20;20
10.06.2021 00:00;20;20;20;20
11.06.2021 00:00;20;20;20;20
12.06.2021 00:00;20;20;20;20
13.06.2021 00:00;20;20;20;20
14.06.2021 00:00;20;20;20;20
15.06.2021 00:00;20;20;20;20
16.06.2021 00:00;20;20;20;20
17.06.2021 00:00;20;20;20;20
18.06.2021 00:00;20;20;20;20
19.06.2021 00:00;20;20;20;20
20.06.2021 00:00;20;20;20;20
21.06.2021 00:00;20;20;20;20
22.06.2021 00:00;20;20;20;20
23.06.2021 00:00;20;20;20;20
24.06.2021 00:00;20;20;20;20
25.06.2021 00:00;20;20;20;20
26.06.2021 00:00;20;20;20;20
27.06.2021 00:00;20;20;20;20
28.06.2021 00:00;20;20;20;20
29.06.2021 00:00;20;20;20;20
30.06.2021 00:00;20;20;20;20
